tx_id,gene_id,gene_name,gene_biotype
FBtr0335425,FBgn0264982,lncRNA:CR44133,ncRNA
FBtr0074147,FBgn0030719,eIF5,protein_coding
FBtr0074149,FBgn0030719,eIF5,protein_coding
FBtr0074150,FBgn0030719,eIF5,protein_coding
FBtr0074145,FBgn0030719,eIF5,protein_coding
FBtr0074144,FBgn0030719,eIF5,protein_coding
FBtr0074148,FBgn0030719,eIF5,protein_coding
FBtr0074146,FBgn0030719,eIF5,protein_coding
FBtr0452127,FBgn0284228,CG46312,protein_coding
FBtr0344193,FBgn0266379,lncRNA:CR45021,ncRNA
FBtr0345223,FBgn0266379,lncRNA:CR45021,ncRNA
FBtr0345917,FBgn0266995,lncRNA:CR45446,ncRNA
FBtr0333577,FBgn0259824,Hip14,protein_coding
FBtr0075518,FBgn0259824,Hip14,protein_coding
FBtr0330161,FBgn0259824,Hip14,protein_coding
FBtr0087268,FBgn0034057,CG8314,protein_coding
FBtr0308754,FBgn0263331,lncRNA:CR43412,ncRNA
FBtr0087267,FBgn0034058,Pex11,protein_coding
FBtr0087202,FBgn0034059,CG8320,protein_coding
FBtr0335423,FBgn0003507,srp,protein_coding
FBtr0074135,FBgn0000611,exd,protein_coding
FBtr0075521,FBgn0036556,CG5830,protein_coding
FBtr0333579,FBgn0036556,CG5830,protein_coding
FBtr0333322,FBgn0000611,exd,protein_coding
FBtr0074137,FBgn0000611,exd,protein_coding
FBtr0333323,FBgn0000611,exd,protein_coding
FBtr0300597,FBgn0020236,ATPCL,protein_coding
FBtr0300596,FBgn0020236,ATPCL,protein_coding
FBtr0300598,FBgn0020236,ATPCL,protein_coding
FBtr0340016,FBgn0020236,ATPCL,protein_coding
FBtr0083216,FBgn0003507,srp,protein_coding
FBtr0083215,FBgn0003507,srp,protein_coding
FBtr0074138,FBgn0030720,CG8939,protein_coding
FBtr0340415,FBgn0003969,vap,protein_coding
FBtr0074143,FBgn0003969,vap,protein_coding
FBtr0074141,FBgn0003969,vap,protein_coding
FBtr0340416,FBgn0003969,vap,protein_coding
FBtr0074140,FBgn0003969,vap,protein_coding
FBtr0074142,FBgn0003969,vap,protein_coding
FBtr0343726,FBgn0028644,beat-Ic,protein_coding
FBtr0343727,FBgn0028644,beat-Ic,protein_coding
FBtr0080801,FBgn0028644,beat-Ic,protein_coding
FBtr0087203,FBgn0034060,CG8370,protein_coding
FBtr0340015,FBgn0034060,CG8370,protein_coding
FBtr0332227,FBgn0264373,lncRNA:CR43825,ncRNA
FBtr0112358,FBgn0085196,CG34167,protein_coding
FBtr0343694,FBgn0264374,lncRNA:CR43826,ncRNA
FBtr0332231,FBgn0264374,lncRNA:CR43826,ncRNA
FBtr0309032,FBgn0262028,lncRNA:CR42839,ncRNA
FBtr0332228,FBgn0045827,CG13245,protein_coding
FBtr0332230,FBgn0264364,CG43816,protein_coding
FBtr0080802,FBgn0045827,CG13245,protein_coding
FBtr0332229,FBgn0264364,CG43816,protein_coding
FBtr0303861,FBgn0262028,lncRNA:CR42839,ncRNA
FBtr0346121,FBgn0045827,CG13245,protein_coding
FBtr0075519,FBgn0036557,mRpS31,protein_coding
FBtr0305220,FBgn0051820,CG31820,protein_coding
FBtr0080807,FBgn0051820,CG31820,protein_coding
FBtr0074139,FBgn0030721,CG12698,protein_coding
FBtr0343693,FBgn0266138,lncRNA:CR44844,ncRNA
FBtr0333578,FBgn0263601,mib1,protein_coding
FBtr0075520,FBgn0263601,mib1,protein_coding
FBtr0087264,FBgn0034061,Ufc1,protein_coding
FBtr0087204,FBgn0034063,CG8389,protein_coding
FBtr0303261,FBgn0038391,GATAe,protein_coding
FBtr0303260,FBgn0038391,GATAe,protein_coding
FBtr0074205,FBgn0052580,Muc14A,protein_coding
FBtr0087263,FBgn0034062,CG8388,protein_coding
FBtr0087205,FBgn0034063,CG8389,protein_coding
FBtr0083218,FBgn0038391,GATAe,protein_coding
FBtr0087262,FBgn0010590,Prosbeta1,protein_coding
FBtr0087206,FBgn0034065,Rrp42,protein_coding
FBtr0087261,FBgn0034066,CG8397,protein_coding
FBtr0344585,FBgn0264601,lncRNA:CR43950,ncRNA
FBtr0347120,FBgn0267660,lncRNA:CR45998,ncRNA
FBtr0347119,FBgn0267660,lncRNA:CR45998,ncRNA
FBtr0087207,FBgn0034067,CG8399,protein_coding
FBtr0340018,FBgn0034067,CG8399,protein_coding
FBtr0344584,FBgn0264600,lncRNA:CR43949,ncRNA
FBtr0075435,FBgn0044028,Notum,protein_coding
FBtr0087260,FBgn0034068,casp,protein_coding
FBtr0087259,FBgn0034068,casp,protein_coding
FBtr0339756,FBgn0034068,casp,protein_coding
FBtr0335427,FBgn0003117,pnr,protein_coding
FBtr0083220,FBgn0003117,pnr,protein_coding
FBtr0301196,FBgn0034069,CG8401,protein_coding
FBtr0309722,FBgn0263570,mir-4941,pre_miRNA
FBtr0340019,FBgn0034070,SP2353,protein_coding
FBtr0087209,FBgn0034070,SP2353,protein_coding
FBtr0302999,FBgn0261634,CG42717,protein_coding
FBtr0302998,FBgn0261633,CG42716,protein_coding
FBtr0301002,FBgn0260646,CG42538,protein_coding
