tx_id,gene_id,gene_name,gene_biotype
ENSXETT00000000500,ENSXETG00000000237,ZEB2,protein_coding
ENSXETT00000000505,ENSXETG00000000247,FOXRED2,protein_coding
ENSXETT00000000511,ENSXETG00000000251,hmox1,protein_coding
ENSXETT00000000515,ENSXETG00000000253,mcm5,protein_coding
ENSXETT00000000518,ENSXETG00000000256,ndufa6,protein_coding
ENSXETT00000000521,ENSXETG00000000260,pheta2,protein_coding
ENSXETT00000000533,ENSXETG00000000265,PPFIA3,protein_coding
ENSXETT00000000537,ENSXETG00000000267,ccndx,protein_coding
ENSXETT00000000556,ENSXETG00000000274,trpm4,protein_coding
ENSXETT00000000563,ENSXETG00000000286,cdknx,protein_coding
ENSXETT00000000565,ENSXETG00000000287,BUB1B,protein_coding
ENSXETT00000000568,ENSXETG00000000289,BMF,protein_coding
ENSXETT00000000571,ENSXETG00000000290,SRP14,protein_coding
ENSXETT00000000579,ENSXETG00000000293,mob2.2,protein_coding
ENSXETT00000000584,ENSXETG00000000295,mgc147475,protein_coding
ENSXETT00000000590,ENSXETG00000000296,med25,protein_coding
ENSXETT00000000591,ENSXETG00000000298,gemin2,protein_coding
ENSXETT00000000594,ENSXETG00000000299,PLA2G4F,protein_coding
ENSXETT00000000595,ENSXETG00000030883,ANKMY1,protein_coding
ENSXETT00000000597,ENSXETG00000000300,acp4,protein_coding
ENSXETT00000000598,ENSXETG00000000301,VPS39,protein_coding
ENSXETT00000000603,ENSXETG00000000302,GANC,protein_coding
ENSXETT00000000610,ENSXETG00000038495,NPAS3,protein_coding
ENSXETT00000000613,ENSXETG00000000307,NR1H2,protein_coding
ENSXETT00000000620,ENSXETG00000011061,ankrd40,protein_coding
ENSXETT00000000633,ENSXETG00000000311,DDX59,protein_coding
ENSXETT00000000645,ENSXETG00000000314,NR5A2,protein_coding
ENSXETT00000000654,ENSXETG00000000316,PTPRC,protein_coding
ENSXETT00000000655,ENSXETG00000006790,DYNLT5,protein_coding
ENSXETT00000000659,ENSXETG00000006962,EIPR1,protein_coding
ENSXETT00000000664,ENSXETG00000000321,CALM1,protein_coding
ENSXETT00000000671,ENSXETG00000000325,ovch1,protein_coding
ENSXETT00000000679,ENSXETG00000000326,TMTC1,protein_coding
ENSXETT00000000694,ENSXETG00000000331,ambn,protein_coding
ENSXETT00000000698,ENSXETG00000000332,RCHY1,protein_coding
ENSXETT00000000703,ENSXETG00000000334,g3bp2,protein_coding
ENSXETT00000000704,ENSXETG00000000335,CDKL2,protein_coding
ENSXETT00000000712,ENSXETG00000000340,abcg2,protein_coding
ENSXETT00000000714,ENSXETG00000000341,ppm1k,protein_coding
ENSXETT00000000722,ENSXETG00000000342,herc6,protein_coding
ENSXETT00000000723,ENSXETG00000000344,zdhhc1,protein_coding
ENSXETT00000000726,ENSXETG00000000343,ANLN,protein_coding
ENSXETT00000000730,ENSXETG00000000346,RBL2,protein_coding
ENSXETT00000000736,ENSXETG00000000349,CHD9,protein_coding
ENSXETT00000000738,ENSXETG00000000351,EPDR1,protein_coding
ENSXETT00000000744,ENSXETG00000000349,CHD9,protein_coding
ENSXETT00000000759,ENSXETG00000035867,SPMIP8,protein_coding
ENSXETT00000000761,ENSXETG00000000362,GZMA,protein_coding
ENSXETT00000000764,ENSXETG00000000363,cspg4b,protein_coding
ENSXETT00000000766,ENSXETG00000000364,esm1,protein_coding
ENSXETT00000000780,ENSXETG00000000368,sec31a,protein_coding
ENSXETT00000000785,ENSXETG00000000369,lin54,protein_coding
ENSXETT00000000795,ENSXETG00000000373,mrpl1,protein_coding
ENSXETT00000000799,ENSXETG00000028090,SLC38A9,protein_coding
ENSXETT00000000803,ENSXETG00000026886,plpp2,protein_coding
ENSXETT00000000819,ENSXETG00000000384,mgc88898,protein_coding
ENSXETT00000000830,ENSXETG00000024910,,protein_coding
ENSXETT00000000832,ENSXETG00000000395,col11a2,protein_coding
ENSXETT00000000846,ENSXETG00000041506,,protein_coding
