tx_id,gene_id,gene_name,gene_biotype
ENSDART00000002510,ENSDARG00000014545,golim4b,protein_coding
ENSDART00000002545,ENSDARG00000020840,MCRS1,protein_coding
ENSDART00000002554,ENSDARG00000004697,rxrgb,protein_coding
ENSDART00000002556,ENSDARG00000007130,MRTO4,protein_coding
ENSDART00000002562,ENSDARG00000005627,zmp:0000000527,protein_coding
ENSDART00000002568,ENSDARG00000010035,ENGASE,protein_coding
ENSDART00000002571,ENSDARG00000015947,MATN4,protein_coding
ENSDART00000002583,ENSDARG00000015747,AARSD1,protein_coding
ENSDART00000002595,ENSDARG00000010516,RPL21,protein_coding
ENSDART00000002622,ENSDARG00000005108,oclna,protein_coding
ENSDART00000002624,ENSDARG00000014817,ranbp1,protein_coding
ENSDART00000002633,ENSDARG00000018383,frzb,protein_coding
ENSDART00000002641,ENSDARG00000042368,KIF26A,protein_coding
ENSDART00000002661,ENSDARG00000020785,lama4,protein_coding
ENSDART00000002682,ENSDARG00000032765,NET1,protein_coding
ENSDART00000002684,ENSDARG00000017931,INTS6L,protein_coding
ENSDART00000002691,ENSDARG00000008407,TSPAN7,protein_coding
ENSDART00000002714,ENSDARG00000011049,SLC17A9,protein_coding
ENSDART00000002728,ENSDARG00000016177,eif4enif1,protein_coding
ENSDART00000002741,ENSDARG00000015576,ITPRIP,protein_coding
ENSDART00000002750,ENSDARG00000005454,tacc3,protein_coding
ENSDART00000002764,ENSDARG00000003749,POLB,protein_coding
ENSDART00000002767,ENSDARG00000069266,ESRRA,protein_coding
ENSDART00000002770,ENSDARG00000004497,TSPAN33,protein_coding
ENSDART00000002773,ENSDARG00000006672,CYRIA,protein_coding
ENSDART00000002778,ENSDARG00000017687,dnajc5gb,protein_coding
ENSDART00000002787,ENSDARG00000015236,PYCR3,protein_coding
ENSDART00000002812,ENSDARG00000037030,CASZ1,protein_coding
ENSDART00000002824,ENSDARG00000007566,APPBP2,protein_coding
ENSDART00000002826,ENSDARG00000017658,GMPPB,protein_coding
ENSDART00000002835,ENSDARG00000012234,PSME3,protein_coding
ENSDART00000002846,ENSDARG00000007494,st3gal8,protein_coding
ENSDART00000002851,ENSDARG00000018111,kdm7aa,protein_coding
ENSDART00000002856,ENSDARG00000014858,drd2l,protein_coding
ENSDART00000002863,ENSDARG00000016951,neurog3,protein_coding
ENSDART00000002866,ENSDARG00000016695,p2rx1,protein_coding
ENSDART00000002867,ENSDARG00000019746,RFNG,protein_coding
ENSDART00000002886,ENSDARG00000006392,EXOSC9,protein_coding
ENSDART00000002908,ENSDARG00000018270,OLFM1,protein_coding
ENSDART00000002922,ENSDARG00000002385,ATM,protein_coding
ENSDART00000002928,ENSDARG00000010619,THEMIS,protein_coding
ENSDART00000002930,ENSDARG00000017427,phf20l1,protein_coding
ENSDART00000002932,ENSDARG00000008803,MARCKS,protein_coding
ENSDART00000002938,ENSDARG00000008592,MTMR8,protein_coding
ENSDART00000002939,ENSDARG00000037140,pfkfb1,protein_coding
ENSDART00000002945,ENSDARG00000096979,NPC2,protein_coding
ENSDART00000002953,ENSDARG00000005332,lipib,protein_coding
ENSDART00000002961,ENSDARG00000008278,RCOR2,protein_coding
ENSDART00000002974,ENSDARG00000044091,PITPNA,protein_coding
ENSDART00000002985,ENSDARG00000008097,SRSF9,protein_coding
ENSDART00000002992,ENSDARG00000009868,DCAF11,protein_coding
ENSDART00000003001,ENSDARG00000006316,RPL23A,protein_coding
ENSDART00000003008,ENSDARG00000027419,GAD1,protein_coding
ENSDART00000003022,ENSDARG00000009472,MED19,protein_coding
ENSDART00000003031,ENSDARG00000076574,si:ch211-171h4.6,protein_coding
ENSDART00000003035,ENSDARG00000013856,amy2a,protein_coding
ENSDART00000003040,ENSDARG00000003523,itln3,protein_coding
ENSDART00000003042,ENSDARG00000020708,MDK,protein_coding
ENSDART00000003066,ENSDARG00000076742,CYTH1,protein_coding
ENSDART00000003076,ENSDARG00000008880,USP28,protein_coding
ENSDART00000003097,ENSDARG00000005626,RHOU,protein_coding
ENSDART00000003133,ENSDARG00000021399,YIPF2,protein_coding
ENSDART00000003143,ENSDARG00000018742,PSME4,protein_coding
ENSDART00000003156,ENSDARG00000022858,wnt7ba,protein_coding
ENSDART00000003164,ENSDARG00000007186,PPP1R8,protein_coding
ENSDART00000003167,ENSDARG00000005926,AK2,protein_coding
ENSDART00000003170,ENSDARG00000018145,mid1ip1l,protein_coding
ENSDART00000003181,ENSDARG00000044632,MYO7A,protein_coding
ENSDART00000003192,ENSDARG00000005034,CRPPA,protein_coding
ENSDART00000003193,ENSDARG00000010317,GPR183,protein_coding
ENSDART00000003195,ENSDARG00000007418,chmp4c,protein_coding
ENSDART00000003210,ENSDARG00000020237,MC1R,protein_coding
ENSDART00000003211,ENSDARG00000014324,sh2d5,protein_coding
